"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 12 14:40:05 GMT 2022","Fri Aug 12 14:40:05 GMT 2022","678","chromium","example.spec.ts","Item","","","should allow me to mark items as complete",""
"passed","Fri Aug 12 14:40:13 GMT 2022","Fri Aug 12 14:40:14 GMT 2022","761","chromium","example.spec.ts","Routing","","","should respect the back button",""
"passed","Fri Aug 12 14:40:45 GMT 2022","Fri Aug 12 14:40:46 GMT 2022","817","firefox","example.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Fri Aug 12 14:40:04 GMT 2022","Fri Aug 12 14:40:05 GMT 2022","766","chromium","example.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Fri Aug 12 14:40:50 GMT 2022","Fri Aug 12 14:40:51 GMT 2022","1106","firefox","example.spec.ts","Routing","","","should allow me to display active items",""
"passed","Fri Aug 12 14:40:39 GMT 2022","Fri Aug 12 14:40:40 GMT 2022","986","firefox","example.spec.ts","Item","","","should allow me to edit an item",""
"failed","Fri Aug 12 14:40:19 GMT 2022","Fri Aug 12 14:40:23 GMT 2022","3149","chromium","failing-test.test.ts","GitHub - Search Result","","","should verify ""We couldn’t find any repositories"" message, after entering invalid keyword",""
"passed","Fri Aug 12 14:40:08 GMT 2022","Fri Aug 12 14:40:08 GMT 2022","626","chromium","example.spec.ts","Editing","","","should trim entered text",""
"passed","Fri Aug 12 14:40:03 GMT 2022","Fri Aug 12 14:40:04 GMT 2022","668","chromium","example.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Fri Aug 12 14:40:03 GMT 2022","Fri Aug 12 14:40:03 GMT 2022","613","chromium","example.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Fri Aug 12 14:40:07 GMT 2022","Fri Aug 12 14:40:07 GMT 2022","598","chromium","example.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Fri Aug 12 14:40:33 GMT 2022","Fri Aug 12 14:40:34 GMT 2022","704","firefox","example.spec.ts","New Todo","","","should show #main and #footer when items added",""
"passed","Fri Aug 12 14:40:14 GMT 2022","Fri Aug 12 14:40:15 GMT 2022","756","chromium","example.spec.ts","Routing","","","should allow me to display all items",""
"passed","Fri Aug 12 14:40:49 GMT 2022","Fri Aug 12 14:40:50 GMT 2022","1238","firefox","example.spec.ts","Persistence","","","should persist its data",""
"passed","Fri Aug 12 14:40:36 GMT 2022","Fri Aug 12 14:40:37 GMT 2022","1195","firefox","example.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Fri Aug 12 14:40:05 GMT 2022","Fri Aug 12 14:40:06 GMT 2022","634","chromium","example.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Fri Aug 12 14:40:08 GMT 2022","Fri Aug 12 14:40:09 GMT 2022","597","chromium","example.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"passed","Fri Aug 12 14:40:43 GMT 2022","Fri Aug 12 14:40:44 GMT 2022","1138","firefox","example.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"passed","Fri Aug 12 14:40:37 GMT 2022","Fri Aug 12 14:40:38 GMT 2022","1086","firefox","example.spec.ts","Item","","","should allow me to mark items as complete",""
"passed","Fri Aug 12 14:40:47 GMT 2022","Fri Aug 12 14:40:48 GMT 2022","959","firefox","example.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Fri Aug 12 14:40:10 GMT 2022","Fri Aug 12 14:40:11 GMT 2022","552","chromium","example.spec.ts","Clear completed button","","","should display the correct text",""
"passed","Fri Aug 12 14:40:11 GMT 2022","Fri Aug 12 14:40:11 GMT 2022","595","chromium","example.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Fri Aug 12 14:40:48 GMT 2022","Fri Aug 12 14:40:49 GMT 2022","999","firefox","example.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Fri Aug 12 14:40:09 GMT 2022","Fri Aug 12 14:40:10 GMT 2022","567","chromium","example.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Fri Aug 12 14:40:12 GMT 2022","Fri Aug 12 14:40:12 GMT 2022","664","chromium","example.spec.ts","Persistence","","","should persist its data",""
"passed","Fri Aug 12 14:41:03 GMT 2022","Fri Aug 12 14:41:07 GMT 2022","4317","firefox","github-search.test.ts","GitHub - Search Result","","","should verify search result with valid repository name",""
"passed","Fri Aug 12 14:40:23 GMT 2022","Fri Aug 12 14:40:26 GMT 2022","3178","chromium","github-search.test.ts","GitHub - Search Result","","","should verify search result with valid repository name",""
"passed","Fri Aug 12 14:40:14 GMT 2022","Fri Aug 12 14:40:14 GMT 2022","651","chromium","example.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Fri Aug 12 14:40:15 GMT 2022","Fri Aug 12 14:40:16 GMT 2022","642","chromium","example.spec.ts","Routing","","","should highlight the currently applied filter",""
"passed","Fri Aug 12 14:40:16 GMT 2022","Fri Aug 12 14:40:19 GMT 2022","3499","chromium","failing-test.test.ts","GitHub - Search Result","","","should verify search result with valid repository name",""
"passed","Fri Aug 12 14:40:32 GMT 2022","Fri Aug 12 14:40:33 GMT 2022","875","firefox","example.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Fri Aug 12 14:40:41 GMT 2022","Fri Aug 12 14:40:42 GMT 2022","1000","firefox","example.spec.ts","Editing","","","should save edits on blur",""
"passed","Fri Aug 12 14:40:52 GMT 2022","Fri Aug 12 14:40:53 GMT 2022","1037","firefox","example.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Fri Aug 12 14:40:42 GMT 2022","Fri Aug 12 14:40:43 GMT 2022","1097","firefox","example.spec.ts","Editing","","","should trim entered text",""
"passed","Fri Aug 12 14:40:34 GMT 2022","Fri Aug 12 14:40:35 GMT 2022","987","firefox","example.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Fri Aug 12 14:40:01 GMT 2022","Fri Aug 12 14:40:02 GMT 2022","603","chromium","example.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Fri Aug 12 14:40:11 GMT 2022","Fri Aug 12 14:40:12 GMT 2022","602","chromium","example.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Fri Aug 12 14:40:51 GMT 2022","Fri Aug 12 14:40:52 GMT 2022","1246","firefox","example.spec.ts","Routing","","","should respect the back button",""
"passed","Fri Aug 12 14:40:53 GMT 2022","Fri Aug 12 14:40:55 GMT 2022","1254","firefox","example.spec.ts","Routing","","","should allow me to display all items",""
"passed","Fri Aug 12 14:40:02 GMT 2022","Fri Aug 12 14:40:03 GMT 2022","469","chromium","example.spec.ts","New Todo","","","should show #main and #footer when items added",""
"passed","Fri Aug 12 14:40:56 GMT 2022","Fri Aug 12 14:40:59 GMT 2022","3015","firefox","failing-test.test.ts","GitHub - Search Result","","","should verify search result with valid repository name",""
"passed","Fri Aug 12 14:40:46 GMT 2022","Fri Aug 12 14:40:47 GMT 2022","855","firefox","example.spec.ts","Clear completed button","","","should display the correct text",""
